date,year,quarter,month,month_name,week,day_of_week,day,is_weekend,month_year,year_month,quarter_number
2024-03-23,2024,Q1,3,March,12,Saturday,23,True,2024-03,202403,1
2024-03-24,2024,Q1,3,March,12,Sunday,24,True,2024-03,202403,1
2024-03-25,2024,Q1,3,March,13,Monday,25,False,2024-03,202403,1
2024-03-26,2024,Q1,3,March,13,Tuesday,26,False,2024-03,202403,1
2024-03-27,2024,Q1,3,March,13,Wednesday,27,False,2024-03,202403,1
2024-03-28,2024,Q1,3,March,13,Thursday,28,False,2024-03,202403,1
2024-03-29,2024,Q1,3,March,13,Friday,29,True,2024-03,202403,1
2024-03-30,2024,Q1,3,March,13,Saturday,30,True,2024-03,202403,1
2024-03-31,2024,Q1,3,March,13,Sunday,31,True,2024-03,202403,1
2024-04-01,2024,Q2,4,April,14,Monday,1,False,2024-04,202404,2
2024-04-02,2024,Q2,4,April,14,Tuesday,2,False,2024-04,202404,2
2024-04-03,2024,Q2,4,April,14,Wednesday,3,False,2024-04,202404,2
2024-04-04,2024,Q2,4,April,14,Thursday,4,False,2024-04,202404,2
2024-04-05,2024,Q2,4,April,14,Friday,5,True,2024-04,202404,2
2024-04-06,2024,Q2,4,April,14,Saturday,6,True,2024-04,202404,2
2024-04-07,2024,Q2,4,April,14,Sunday,7,True,2024-04,202404,2
2024-04-08,2024,Q2,4,April,15,Monday,8,False,2024-04,202404,2
2024-04-09,2024,Q2,4,April,15,Tuesday,9,False,2024-04,202404,2
2024-04-10,2024,Q2,4,April,15,Wednesday,10,False,2024-04,202404,2
2024-04-11,2024,Q2,4,April,15,Thursday,11,False,2024-04,202404,2
2024-04-12,2024,Q2,4,April,15,Friday,12,True,2024-04,202404,2
2024-04-13,2024,Q2,4,April,15,Saturday,13,True,2024-04,202404,2
2024-04-14,2024,Q2,4,April,15,Sunday,14,True,2024-04,202404,2
2024-04-15,2024,Q2,4,April,16,Monday,15,False,2024-04,202404,2
2024-04-16,2024,Q2,4,April,16,Tuesday,16,False,2024-04,202404,2
2024-04-17,2024,Q2,4,April,16,Wednesday,17,False,2024-04,202404,2
2024-04-18,2024,Q2,4,April,16,Thursday,18,False,2024-04,202404,2
2024-04-19,2024,Q2,4,April,16,Friday,19,True,2024-04,202404,2
2024-04-20,2024,Q2,4,April,16,Saturday,20,True,2024-04,202404,2
2024-04-21,2024,Q2,4,April,16,Sunday,21,True,2024-04,202404,2
2024-04-22,2024,Q2,4,April,17,Monday,22,False,2024-04,202404,2
2024-04-23,2024,Q2,4,April,17,Tuesday,23,False,2024-04,202404,2
2024-04-24,2024,Q2,4,April,17,Wednesday,24,False,2024-04,202404,2
2024-04-25,2024,Q2,4,April,17,Thursday,25,False,2024-04,202404,2
2024-04-26,2024,Q2,4,April,17,Friday,26,True,2024-04,202404,2
2024-04-27,2024,Q2,4,April,17,Saturday,27,True,2024-04,202404,2
2024-04-28,2024,Q2,4,April,17,Sunday,28,True,2024-04,202404,2
2024-04-29,2024,Q2,4,April,18,Monday,29,False,2024-04,202404,2
2024-04-30,2024,Q2,4,April,18,Tuesday,30,False,2024-04,202404,2
2024-05-01,2024,Q2,5,May,18,Wednesday,1,False,2024-05,202405,2
2024-05-02,2024,Q2,5,May,18,Thursday,2,False,2024-05,202405,2
2024-05-03,2024,Q2,5,May,18,Friday,3,True,2024-05,202405,2
2024-05-04,2024,Q2,5,May,18,Saturday,4,True,2024-05,202405,2
2024-05-05,2024,Q2,5,May,18,Sunday,5,True,2024-05,202405,2
2024-05-06,2024,Q2,5,May,19,Monday,6,False,2024-05,202405,2
2024-05-07,2024,Q2,5,May,19,Tuesday,7,False,2024-05,202405,2
2024-05-08,2024,Q2,5,May,19,Wednesday,8,False,2024-05,202405,2
2024-05-09,2024,Q2,5,May,19,Thursday,9,False,2024-05,202405,2
2024-05-10,2024,Q2,5,May,19,Friday,10,True,2024-05,202405,2
2024-05-11,2024,Q2,5,May,19,Saturday,11,True,2024-05,202405,2
2024-05-12,2024,Q2,5,May,19,Sunday,12,True,2024-05,202405,2
2024-05-13,2024,Q2,5,May,20,Monday,13,False,2024-05,202405,2
2024-05-14,2024,Q2,5,May,20,Tuesday,14,False,2024-05,202405,2
2024-05-15,2024,Q2,5,May,20,Wednesday,15,False,2024-05,202405,2
2024-05-16,2024,Q2,5,May,20,Thursday,16,False,2024-05,202405,2
2024-05-17,2024,Q2,5,May,20,Friday,17,True,2024-05,202405,2
2024-05-18,2024,Q2,5,May,20,Saturday,18,True,2024-05,202405,2
2024-05-19,2024,Q2,5,May,20,Sunday,19,True,2024-05,202405,2
2024-05-20,2024,Q2,5,May,21,Monday,20,False,2024-05,202405,2
2024-05-21,2024,Q2,5,May,21,Tuesday,21,False,2024-05,202405,2
2024-05-22,2024,Q2,5,May,21,Wednesday,22,False,2024-05,202405,2
2024-05-23,2024,Q2,5,May,21,Thursday,23,False,2024-05,202405,2
2024-05-24,2024,Q2,5,May,21,Friday,24,True,2024-05,202405,2
2024-05-25,2024,Q2,5,May,21,Saturday,25,True,2024-05,202405,2
2024-05-26,2024,Q2,5,May,21,Sunday,26,True,2024-05,202405,2
2024-05-27,2024,Q2,5,May,22,Monday,27,False,2024-05,202405,2
2024-05-28,2024,Q2,5,May,22,Tuesday,28,False,2024-05,202405,2
2024-05-29,2024,Q2,5,May,22,Wednesday,29,False,2024-05,202405,2
2024-05-30,2024,Q2,5,May,22,Thursday,30,False,2024-05,202405,2
2024-05-31,2024,Q2,5,May,22,Friday,31,True,2024-05,202405,2
2024-06-01,2024,Q2,6,June,22,Saturday,1,True,2024-06,202406,2
2024-06-02,2024,Q2,6,June,22,Sunday,2,True,2024-06,202406,2
2024-06-03,2024,Q2,6,June,23,Monday,3,False,2024-06,202406,2
2024-06-04,2024,Q2,6,June,23,Tuesday,4,False,2024-06,202406,2
2024-06-05,2024,Q2,6,June,23,Wednesday,5,False,2024-06,202406,2
2024-06-06,2024,Q2,6,June,23,Thursday,6,False,2024-06,202406,2
2024-06-07,2024,Q2,6,June,23,Friday,7,True,2024-06,202406,2
2024-06-08,2024,Q2,6,June,23,Saturday,8,True,2024-06,202406,2
2024-06-09,2024,Q2,6,June,23,Sunday,9,True,2024-06,202406,2
2024-06-10,2024,Q2,6,June,24,Monday,10,False,2024-06,202406,2
2024-06-11,2024,Q2,6,June,24,Tuesday,11,False,2024-06,202406,2
2024-06-12,2024,Q2,6,June,24,Wednesday,12,False,2024-06,202406,2
2024-06-13,2024,Q2,6,June,24,Thursday,13,False,2024-06,202406,2
2024-06-14,2024,Q2,6,June,24,Friday,14,True,2024-06,202406,2
2024-06-15,2024,Q2,6,June,24,Saturday,15,True,2024-06,202406,2
2024-06-16,2024,Q2,6,June,24,Sunday,16,True,2024-06,202406,2
2024-06-17,2024,Q2,6,June,25,Monday,17,False,2024-06,202406,2
2024-06-18,2024,Q2,6,June,25,Tuesday,18,False,2024-06,202406,2
2024-06-19,2024,Q2,6,June,25,Wednesday,19,False,2024-06,202406,2
2024-06-20,2024,Q2,6,June,25,Thursday,20,False,2024-06,202406,2
2024-06-21,2024,Q2,6,June,25,Friday,21,True,2024-06,202406,2
2024-06-22,2024,Q2,6,June,25,Saturday,22,True,2024-06,202406,2
2024-06-23,2024,Q2,6,June,25,Sunday,23,True,2024-06,202406,2
2024-06-24,2024,Q2,6,June,26,Monday,24,False,2024-06,202406,2
2024-06-25,2024,Q2,6,June,26,Tuesday,25,False,2024-06,202406,2
2024-06-26,2024,Q2,6,June,26,Wednesday,26,False,2024-06,202406,2
2024-06-27,2024,Q2,6,June,26,Thursday,27,False,2024-06,202406,2
2024-06-28,2024,Q2,6,June,26,Friday,28,True,2024-06,202406,2
2024-06-29,2024,Q2,6,June,26,Saturday,29,True,2024-06,202406,2
2024-06-30,2024,Q2,6,June,26,Sunday,30,True,2024-06,202406,2
2024-07-01,2024,Q3,7,July,27,Monday,1,False,2024-07,202407,3
2024-07-02,2024,Q3,7,July,27,Tuesday,2,False,2024-07,202407,3
2024-07-03,2024,Q3,7,July,27,Wednesday,3,False,2024-07,202407,3
2024-07-04,2024,Q3,7,July,27,Thursday,4,False,2024-07,202407,3
2024-07-05,2024,Q3,7,July,27,Friday,5,True,2024-07,202407,3
2024-07-06,2024,Q3,7,July,27,Saturday,6,True,2024-07,202407,3
2024-07-07,2024,Q3,7,July,27,Sunday,7,True,2024-07,202407,3
2024-07-08,2024,Q3,7,July,28,Monday,8,False,2024-07,202407,3
2024-07-09,2024,Q3,7,July,28,Tuesday,9,False,2024-07,202407,3
2024-07-10,2024,Q3,7,July,28,Wednesday,10,False,2024-07,202407,3
2024-07-11,2024,Q3,7,July,28,Thursday,11,False,2024-07,202407,3
2024-07-12,2024,Q3,7,July,28,Friday,12,True,2024-07,202407,3
2024-07-13,2024,Q3,7,July,28,Saturday,13,True,2024-07,202407,3
2024-07-14,2024,Q3,7,July,28,Sunday,14,True,2024-07,202407,3
2024-07-15,2024,Q3,7,July,29,Monday,15,False,2024-07,202407,3
2024-07-16,2024,Q3,7,July,29,Tuesday,16,False,2024-07,202407,3
2024-07-17,2024,Q3,7,July,29,Wednesday,17,False,2024-07,202407,3
2024-07-18,2024,Q3,7,July,29,Thursday,18,False,2024-07,202407,3
2024-07-19,2024,Q3,7,July,29,Friday,19,True,2024-07,202407,3
2024-07-20,2024,Q3,7,July,29,Saturday,20,True,2024-07,202407,3
2024-07-21,2024,Q3,7,July,29,Sunday,21,True,2024-07,202407,3
2024-07-22,2024,Q3,7,July,30,Monday,22,False,2024-07,202407,3
2024-07-23,2024,Q3,7,July,30,Tuesday,23,False,2024-07,202407,3
2024-07-24,2024,Q3,7,July,30,Wednesday,24,False,2024-07,202407,3
2024-07-25,2024,Q3,7,July,30,Thursday,25,False,2024-07,202407,3
2024-07-26,2024,Q3,7,July,30,Friday,26,True,2024-07,202407,3
2024-07-27,2024,Q3,7,July,30,Saturday,27,True,2024-07,202407,3
2024-07-28,2024,Q3,7,July,30,Sunday,28,True,2024-07,202407,3
2024-07-29,2024,Q3,7,July,31,Monday,29,False,2024-07,202407,3
2024-07-30,2024,Q3,7,July,31,Tuesday,30,False,2024-07,202407,3
2024-07-31,2024,Q3,7,July,31,Wednesday,31,False,2024-07,202407,3
2024-08-01,2024,Q3,8,August,31,Thursday,1,False,2024-08,202408,3
2024-08-02,2024,Q3,8,August,31,Friday,2,True,2024-08,202408,3
2024-08-03,2024,Q3,8,August,31,Saturday,3,True,2024-08,202408,3
2024-08-04,2024,Q3,8,August,31,Sunday,4,True,2024-08,202408,3
2024-08-05,2024,Q3,8,August,32,Monday,5,False,2024-08,202408,3
2024-08-06,2024,Q3,8,August,32,Tuesday,6,False,2024-08,202408,3
2024-08-07,2024,Q3,8,August,32,Wednesday,7,False,2024-08,202408,3
2024-08-08,2024,Q3,8,August,32,Thursday,8,False,2024-08,202408,3
2024-08-09,2024,Q3,8,August,32,Friday,9,True,2024-08,202408,3
2024-08-10,2024,Q3,8,August,32,Saturday,10,True,2024-08,202408,3
2024-08-11,2024,Q3,8,August,32,Sunday,11,True,2024-08,202408,3
2024-08-12,2024,Q3,8,August,33,Monday,12,False,2024-08,202408,3
2024-08-13,2024,Q3,8,August,33,Tuesday,13,False,2024-08,202408,3
2024-08-14,2024,Q3,8,August,33,Wednesday,14,False,2024-08,202408,3
2024-08-15,2024,Q3,8,August,33,Thursday,15,False,2024-08,202408,3
2024-08-16,2024,Q3,8,August,33,Friday,16,True,2024-08,202408,3
2024-08-17,2024,Q3,8,August,33,Saturday,17,True,2024-08,202408,3
2024-08-18,2024,Q3,8,August,33,Sunday,18,True,2024-08,202408,3
2024-08-19,2024,Q3,8,August,34,Monday,19,False,2024-08,202408,3
2024-08-20,2024,Q3,8,August,34,Tuesday,20,False,2024-08,202408,3
2024-08-21,2024,Q3,8,August,34,Wednesday,21,False,2024-08,202408,3
2024-08-22,2024,Q3,8,August,34,Thursday,22,False,2024-08,202408,3
2024-08-23,2024,Q3,8,August,34,Friday,23,True,2024-08,202408,3
2024-08-24,2024,Q3,8,August,34,Saturday,24,True,2024-08,202408,3
2024-08-25,2024,Q3,8,August,34,Sunday,25,True,2024-08,202408,3
2024-08-26,2024,Q3,8,August,35,Monday,26,False,2024-08,202408,3
2024-08-27,2024,Q3,8,August,35,Tuesday,27,False,2024-08,202408,3
2024-08-28,2024,Q3,8,August,35,Wednesday,28,False,2024-08,202408,3
2024-08-29,2024,Q3,8,August,35,Thursday,29,False,2024-08,202408,3
2024-08-30,2024,Q3,8,August,35,Friday,30,True,2024-08,202408,3
2024-08-31,2024,Q3,8,August,35,Saturday,31,True,2024-08,202408,3
2024-09-01,2024,Q3,9,September,35,Sunday,1,True,2024-09,202409,3
2024-09-02,2024,Q3,9,September,36,Monday,2,False,2024-09,202409,3
2024-09-03,2024,Q3,9,September,36,Tuesday,3,False,2024-09,202409,3
2024-09-04,2024,Q3,9,September,36,Wednesday,4,False,2024-09,202409,3
2024-09-05,2024,Q3,9,September,36,Thursday,5,False,2024-09,202409,3
2024-09-06,2024,Q3,9,September,36,Friday,6,True,2024-09,202409,3
2024-09-07,2024,Q3,9,September,36,Saturday,7,True,2024-09,202409,3
2024-09-08,2024,Q3,9,September,36,Sunday,8,True,2024-09,202409,3
2024-09-09,2024,Q3,9,September,37,Monday,9,False,2024-09,202409,3
2024-09-10,2024,Q3,9,September,37,Tuesday,10,False,2024-09,202409,3
2024-09-11,2024,Q3,9,September,37,Wednesday,11,False,2024-09,202409,3
2024-09-12,2024,Q3,9,September,37,Thursday,12,False,2024-09,202409,3
2024-09-13,2024,Q3,9,September,37,Friday,13,True,2024-09,202409,3
2024-09-14,2024,Q3,9,September,37,Saturday,14,True,2024-09,202409,3
2024-09-15,2024,Q3,9,September,37,Sunday,15,True,2024-09,202409,3
2024-09-16,2024,Q3,9,September,38,Monday,16,False,2024-09,202409,3
2024-09-17,2024,Q3,9,September,38,Tuesday,17,False,2024-09,202409,3
2024-09-18,2024,Q3,9,September,38,Wednesday,18,False,2024-09,202409,3
2024-09-19,2024,Q3,9,September,38,Thursday,19,False,2024-09,202409,3
2024-09-20,2024,Q3,9,September,38,Friday,20,True,2024-09,202409,3
2024-09-21,2024,Q3,9,September,38,Saturday,21,True,2024-09,202409,3
2024-09-22,2024,Q3,9,September,38,Sunday,22,True,2024-09,202409,3
2024-09-23,2024,Q3,9,September,39,Monday,23,False,2024-09,202409,3
2024-09-24,2024,Q3,9,September,39,Tuesday,24,False,2024-09,202409,3
2024-09-25,2024,Q3,9,September,39,Wednesday,25,False,2024-09,202409,3
2024-09-26,2024,Q3,9,September,39,Thursday,26,False,2024-09,202409,3
2024-09-27,2024,Q3,9,September,39,Friday,27,True,2024-09,202409,3
2024-09-28,2024,Q3,9,September,39,Saturday,28,True,2024-09,202409,3
2024-09-29,2024,Q3,9,September,39,Sunday,29,True,2024-09,202409,3
2024-09-30,2024,Q3,9,September,40,Monday,30,False,2024-09,202409,3
2024-10-01,2024,Q4,10,October,40,Tuesday,1,False,2024-10,202410,4
2024-10-02,2024,Q4,10,October,40,Wednesday,2,False,2024-10,202410,4
2024-10-03,2024,Q4,10,October,40,Thursday,3,False,2024-10,202410,4
2024-10-04,2024,Q4,10,October,40,Friday,4,True,2024-10,202410,4
2024-10-05,2024,Q4,10,October,40,Saturday,5,True,2024-10,202410,4
2024-10-06,2024,Q4,10,October,40,Sunday,6,True,2024-10,202410,4
2024-10-07,2024,Q4,10,October,41,Monday,7,False,2024-10,202410,4
2024-10-08,2024,Q4,10,October,41,Tuesday,8,False,2024-10,202410,4
2024-10-09,2024,Q4,10,October,41,Wednesday,9,False,2024-10,202410,4
2024-10-10,2024,Q4,10,October,41,Thursday,10,False,2024-10,202410,4
2024-10-11,2024,Q4,10,October,41,Friday,11,True,2024-10,202410,4
2024-10-12,2024,Q4,10,October,41,Saturday,12,True,2024-10,202410,4
2024-10-13,2024,Q4,10,October,41,Sunday,13,True,2024-10,202410,4
2024-10-14,2024,Q4,10,October,42,Monday,14,False,2024-10,202410,4
2024-10-15,2024,Q4,10,October,42,Tuesday,15,False,2024-10,202410,4
2024-10-16,2024,Q4,10,October,42,Wednesday,16,False,2024-10,202410,4
2024-10-17,2024,Q4,10,October,42,Thursday,17,False,2024-10,202410,4
2024-10-18,2024,Q4,10,October,42,Friday,18,True,2024-10,202410,4
2024-10-19,2024,Q4,10,October,42,Saturday,19,True,2024-10,202410,4
2024-10-20,2024,Q4,10,October,42,Sunday,20,True,2024-10,202410,4
2024-10-21,2024,Q4,10,October,43,Monday,21,False,2024-10,202410,4
2024-10-22,2024,Q4,10,October,43,Tuesday,22,False,2024-10,202410,4
2024-10-23,2024,Q4,10,October,43,Wednesday,23,False,2024-10,202410,4
2024-10-24,2024,Q4,10,October,43,Thursday,24,False,2024-10,202410,4
2024-10-25,2024,Q4,10,October,43,Friday,25,True,2024-10,202410,4
2024-10-26,2024,Q4,10,October,43,Saturday,26,True,2024-10,202410,4
2024-10-27,2024,Q4,10,October,43,Sunday,27,True,2024-10,202410,4
2024-10-28,2024,Q4,10,October,44,Monday,28,False,2024-10,202410,4
2024-10-29,2024,Q4,10,October,44,Tuesday,29,False,2024-10,202410,4
2024-10-30,2024,Q4,10,October,44,Wednesday,30,False,2024-10,202410,4
2024-10-31,2024,Q4,10,October,44,Thursday,31,False,2024-10,202410,4
2024-11-01,2024,Q4,11,November,44,Friday,1,True,2024-11,202411,4
2024-11-02,2024,Q4,11,November,44,Saturday,2,True,2024-11,202411,4
2024-11-03,2024,Q4,11,November,44,Sunday,3,True,2024-11,202411,4
2024-11-04,2024,Q4,11,November,45,Monday,4,False,2024-11,202411,4
2024-11-05,2024,Q4,11,November,45,Tuesday,5,False,2024-11,202411,4
2024-11-06,2024,Q4,11,November,45,Wednesday,6,False,2024-11,202411,4
2024-11-07,2024,Q4,11,November,45,Thursday,7,False,2024-11,202411,4
2024-11-08,2024,Q4,11,November,45,Friday,8,True,2024-11,202411,4
2024-11-09,2024,Q4,11,November,45,Saturday,9,True,2024-11,202411,4
2024-11-10,2024,Q4,11,November,45,Sunday,10,True,2024-11,202411,4
2024-11-11,2024,Q4,11,November,46,Monday,11,False,2024-11,202411,4
2024-11-12,2024,Q4,11,November,46,Tuesday,12,False,2024-11,202411,4
2024-11-13,2024,Q4,11,November,46,Wednesday,13,False,2024-11,202411,4
2024-11-14,2024,Q4,11,November,46,Thursday,14,False,2024-11,202411,4
2024-11-15,2024,Q4,11,November,46,Friday,15,True,2024-11,202411,4
2024-11-16,2024,Q4,11,November,46,Saturday,16,True,2024-11,202411,4
2024-11-17,2024,Q4,11,November,46,Sunday,17,True,2024-11,202411,4
2024-11-18,2024,Q4,11,November,47,Monday,18,False,2024-11,202411,4
2024-11-19,2024,Q4,11,November,47,Tuesday,19,False,2024-11,202411,4
2024-11-20,2024,Q4,11,November,47,Wednesday,20,False,2024-11,202411,4
2024-11-21,2024,Q4,11,November,47,Thursday,21,False,2024-11,202411,4
2024-11-22,2024,Q4,11,November,47,Friday,22,True,2024-11,202411,4
2024-11-23,2024,Q4,11,November,47,Saturday,23,True,2024-11,202411,4
2024-11-24,2024,Q4,11,November,47,Sunday,24,True,2024-11,202411,4
2024-11-25,2024,Q4,11,November,48,Monday,25,False,2024-11,202411,4
2024-11-26,2024,Q4,11,November,48,Tuesday,26,False,2024-11,202411,4
2024-11-27,2024,Q4,11,November,48,Wednesday,27,False,2024-11,202411,4
2024-11-28,2024,Q4,11,November,48,Thursday,28,False,2024-11,202411,4
2024-11-29,2024,Q4,11,November,48,Friday,29,True,2024-11,202411,4
2024-11-30,2024,Q4,11,November,48,Saturday,30,True,2024-11,202411,4
2024-12-01,2024,Q4,12,December,48,Sunday,1,True,2024-12,202412,4
2024-12-02,2024,Q4,12,December,49,Monday,2,False,2024-12,202412,4
2024-12-03,2024,Q4,12,December,49,Tuesday,3,False,2024-12,202412,4
2024-12-04,2024,Q4,12,December,49,Wednesday,4,False,2024-12,202412,4
2024-12-05,2024,Q4,12,December,49,Thursday,5,False,2024-12,202412,4
2024-12-06,2024,Q4,12,December,49,Friday,6,True,2024-12,202412,4
2024-12-07,2024,Q4,12,December,49,Saturday,7,True,2024-12,202412,4
2024-12-08,2024,Q4,12,December,49,Sunday,8,True,2024-12,202412,4
2024-12-09,2024,Q4,12,December,50,Monday,9,False,2024-12,202412,4
2024-12-10,2024,Q4,12,December,50,Tuesday,10,False,2024-12,202412,4
2024-12-11,2024,Q4,12,December,50,Wednesday,11,False,2024-12,202412,4
2024-12-12,2024,Q4,12,December,50,Thursday,12,False,2024-12,202412,4
2024-12-13,2024,Q4,12,December,50,Friday,13,True,2024-12,202412,4
2024-12-14,2024,Q4,12,December,50,Saturday,14,True,2024-12,202412,4
2024-12-15,2024,Q4,12,December,50,Sunday,15,True,2024-12,202412,4
2024-12-16,2024,Q4,12,December,51,Monday,16,False,2024-12,202412,4
2024-12-17,2024,Q4,12,December,51,Tuesday,17,False,2024-12,202412,4
2024-12-18,2024,Q4,12,December,51,Wednesday,18,False,2024-12,202412,4
2024-12-19,2024,Q4,12,December,51,Thursday,19,False,2024-12,202412,4
2024-12-20,2024,Q4,12,December,51,Friday,20,True,2024-12,202412,4
2024-12-21,2024,Q4,12,December,51,Saturday,21,True,2024-12,202412,4
