product_id,product_name,category,subcategory,brand,unit_cost,selling_price
P0040,Nakhla Food & Beverages Item 040,Food & Beverages,Food & Beverages,Nakhla,53.23,62.92
P0041,Desert Harvest Fresh Food Item 041,Fresh Food,Fresh Food,Desert Harvest,34.54,44.64
P0042,Eastern Choice Health & Wellness Item 042,Health & Wellness,Health & Wellness,Eastern Choice,156.96,204.49
P0043,Al Waha Personal Care Item 043,Personal Care,Personal Care,Al Waha,20.05,26.3
P0044,Sahara Home Baby Care Item 044,Baby Care,Baby Care,Sahara Home,174.81,241.52
P0045,Gulf Fresh Health & Wellness Item 045,Health & Wellness,Health & Wellness,Gulf Fresh,96.22,153.72
P0046,Rimal Household Item 046,Household,Household,Rimal,39.23,47.85
P0047,Nakhla Food & Beverages Item 047,Food & Beverages,Food & Beverages,Nakhla,7.73,9.51
P0048,Northern Star Baby Care Item 048,Baby Care,Baby Care,Northern Star,37.2,52.08
P0049,Northern Star Beauty Item 049,Beauty,Beauty,Northern Star,134.75,191.54
P0050,Desert Harvest Electronics Item 050,Electronics,Electronics,Desert Harvest,282.86,342.55
P0051,Nakhla Beauty Item 051,Beauty,Beauty,Nakhla,208.93,335.66
P0052,Arabian Select Fresh Food Item 052,Fresh Food,Fresh Food,Arabian Select,44.8,59.28
P0053,Eastern Choice Beauty Item 053,Beauty,Beauty,Eastern Choice,69.69,98.67
P0054,Rimal Beauty Item 054,Beauty,Beauty,Rimal,158.11,233.11
P0055,Al Waha Fresh Food Item 055,Fresh Food,Fresh Food,Al Waha,71.56,97.09
P0056,Sahara Home Household Item 056,Household,Household,Sahara Home,29.22,38.3
P0057,Sahara Home Food & Beverages Item 057,Food & Beverages,Food & Beverages,Sahara Home,15.07,17.35
P0058,Northern Star Food & Beverages Item 058,Food & Beverages,Food & Beverages,Northern Star,4.86,6.33
P0059,Sahara Home Electronics Item 059,Electronics,Electronics,Sahara Home,594.39,658.03
P0060,Rimal Health & Wellness Item 060,Health & Wellness,Health & Wellness,Rimal,136.12,207.41
P0061,Gulf Fresh Baby Care Item 061,Baby Care,Baby Care,Gulf Fresh,89.64,112.11
P0062,Oasis Choice Food & Beverages Item 062,Food & Beverages,Food & Beverages,Oasis Choice,67.85,91.03
P0063,Golden Basket Food & Beverages Item 063,Food & Beverages,Food & Beverages,Golden Basket,64.84,79.34
P0064,Palm Valley Food & Beverages Item 064,Food & Beverages,Food & Beverages,Palm Valley,47.66,57.93
P0065,Desert Harvest Household Item 065,Household,Household,Desert Harvest,130.9,160.98
P0066,Gulf Fresh Health & Wellness Item 066,Health & Wellness,Health & Wellness,Gulf Fresh,49.11,68.35
P0067,Al Waha Household Item 067,Household,Household,Al Waha,21.23,29.2
P0068,Northern Star Household Item 068,Household,Household,Northern Star,44.11,61.72
P0069,Desert Harvest Fresh Food Item 069,Fresh Food,Fresh Food,Desert Harvest,8.54,10.88
P0070,Sahara Home Household Item 070,Household,Household,Sahara Home,82.02,105.78
P0071,Nakhla Beauty Item 071,Beauty,Beauty,Nakhla,234.79,376.3
P0072,Al Waha Electronics Item 072,Electronics,Electronics,Al Waha,50.69,64.74
P0073,Desert Harvest Household Item 073,Household,Household,Desert Harvest,22.71,29.95
P0074,Eastern Choice Health & Wellness Item 074,Health & Wellness,Health & Wellness,Eastern Choice,95.92,135.96
P0075,Sahara Home Fresh Food Item 075,Fresh Food,Fresh Food,Sahara Home,93.59,120.03
P0076,Desert Harvest Fresh Food Item 076,Fresh Food,Fresh Food,Desert Harvest,33.67,45.09
P0077,Nakhla Food & Beverages Item 077,Food & Beverages,Food & Beverages,Nakhla,41.56,47.82
P0078,Eastern Choice Fresh Food Item 078,Fresh Food,Fresh Food,Eastern Choice,7.03,9.31
P0079,Sahara Home Beauty Item 079,Beauty,Beauty,Sahara Home,45.6,67.23
P0080,Oasis Choice Personal Care Item 080,Personal Care,Personal Care,Oasis Choice,118.46,171.6
P0081,Gulf Fresh Household Item 081,Household,Household,Gulf Fresh,144.94,176.62
P0082,Arabian Select Fresh Food Item 082,Fresh Food,Fresh Food,Arabian Select,3.48,4.59
P0083,Northern Star Beauty Item 083,Beauty,Beauty,Northern Star,238.43,362.02
P0084,Palm Valley Personal Care Item 084,Personal Care,Personal Care,Palm Valley,78.5,110.73
P0085,Rimal Health & Wellness Item 085,Health & Wellness,Health & Wellness,Rimal,174.9,230.77
P0086,Northern Star Personal Care Item 086,Personal Care,Personal Care,Northern Star,57.3,79.93
P0087,Palm Valley Food & Beverages Item 087,Food & Beverages,Food & Beverages,Palm Valley,42.22,53.29
P0088,Al Waha Food & Beverages Item 088,Food & Beverages,Food & Beverages,Al Waha,40.13,50.65
P0089,Palm Valley Food & Beverages Item 089,Food & Beverages,Food & Beverages,Palm Valley,54.02,68.64
P0090,Sahara Home Food & Beverages Item 090,Food & Beverages,Food & Beverages,Sahara Home,12.89,16.57
P0091,Oasis Choice Food & Beverages Item 091,Food & Beverages,Food & Beverages,Oasis Choice,4.34,5.69
P0092,Arabian Select Health & Wellness Item 092,Health & Wellness,Health & Wellness,Arabian Select,68.51,94.61
P0093,Gulf Fresh Food & Beverages Item 093,Food & Beverages,Food & Beverages,Gulf Fresh,56.97,74.92
P0094,Gulf Fresh Household Item 094,Household,Household,Gulf Fresh,34.27,44.54
P0095,Nakhla Fresh Food Item 095,Fresh Food,Fresh Food,Nakhla,68.32,83.04
P0096,Rimal Beauty Item 096,Beauty,Beauty,Rimal,242.78,332.73
P0097,Desert Harvest Health & Wellness Item 097,Health & Wellness,Health & Wellness,Desert Harvest,27.84,38.98
P0098,Oasis Choice Food & Beverages Item 098,Food & Beverages,Food & Beverages,Oasis Choice,54.46,71.18
P0099,Desert Harvest Food & Beverages Item 099,Food & Beverages,Food & Beverages,Desert Harvest,36.61,47.28
P0100,Arabian Select Food & Beverages Item 100,Food & Beverages,Food & Beverages,Arabian Select,69.72,91.17
P0101,Palm Valley Food & Beverages Item 101,Food & Beverages,Food & Beverages,Palm Valley,15.82,19.83
P0102,Gulf Fresh Personal Care Item 102,Personal Care,Personal Care,Gulf Fresh,84.65,115.13
P0103,Arabian Select Food & Beverages Item 103,Food & Beverages,Food & Beverages,Arabian Select,67.37,79.46
P0104,Palm Valley Food & Beverages Item 104,Food & Beverages,Food & Beverages,Palm Valley,75.68,92.0
P0105,Gulf Fresh Food & Beverages Item 105,Food & Beverages,Food & Beverages,Gulf Fresh,55.29,68.38
P0106,Palm Valley Household Item 106,Household,Household,Palm Valley,77.09,93.87
P0107,Rimal Food & Beverages Item 107,Food & Beverages,Food & Beverages,Rimal,50.19,59.93
P0108,Oasis Choice Household Item 108,Household,Household,Oasis Choice,130.99,172.86
P0109,Northern Star Beauty Item 109,Beauty,Beauty,Northern Star,146.95,236.22
P0110,Eastern Choice Baby Care Item 110,Baby Care,Baby Care,Eastern Choice,13.23,19.18
P0111,Al Waha Food & Beverages Item 111,Food & Beverages,Food & Beverages,Al Waha,74.61,99.73
P0112,Arabian Select Electronics Item 112,Electronics,Electronics,Arabian Select,557.83,685.3
P0113,Arabian Select Health & Wellness Item 113,Health & Wellness,Health & Wellness,Arabian Select,138.54,197.61
P0114,Eastern Choice Food & Beverages Item 114,Food & Beverages,Food & Beverages,Eastern Choice,18.82,24.04
P0115,Northern Star Fresh Food Item 115,Fresh Food,Fresh Food,Northern Star,66.91,90.81
P0116,Golden Basket Fresh Food Item 116,Fresh Food,Fresh Food,Golden Basket,41.2,50.42
P0117,Sahara Home Food & Beverages Item 117,Food & Beverages,Food & Beverages,Sahara Home,52.8,65.05
P0118,Rimal Personal Care Item 118,Personal Care,Personal Care,Rimal,17.26,25.2
P0119,Rimal Electronics Item 119,Electronics,Electronics,Rimal,533.12,627.36
P0120,Eastern Choice Baby Care Item 120,Baby Care,Baby Care,Eastern Choice,179.9,241.6
P0121,Desert Harvest Food & Beverages Item 121,Food & Beverages,Food & Beverages,Desert Harvest,5.76,7.3
P0122,Palm Valley Food & Beverages Item 122,Food & Beverages,Food & Beverages,Palm Valley,78.22,92.84
P0123,Sahara Home Household Item 123,Household,Household,Sahara Home,64.0,81.44
P0124,Oasis Choice Beauty Item 124,Beauty,Beauty,Oasis Choice,218.98,321.26
P0125,Oasis Choice Health & Wellness Item 125,Health & Wellness,Health & Wellness,Oasis Choice,158.65,207.49
P0126,Eastern Choice Household Item 126,Household,Household,Eastern Choice,87.22,105.09
P0127,Rimal Household Item 127,Household,Household,Rimal,112.08,153.14
P0128,Oasis Choice Baby Care Item 128,Baby Care,Baby Care,Oasis Choice,159.1,201.78
P0129,Golden Basket Food & Beverages Item 129,Food & Beverages,Food & Beverages,Golden Basket,33.52,42.02
P0130,Arabian Select Personal Care Item 130,Personal Care,Personal Care,Arabian Select,42.61,56.44
P0131,Nakhla Baby Care Item 131,Baby Care,Baby Care,Nakhla,122.83,176.28
P0132,Al Waha Fresh Food Item 132,Fresh Food,Fresh Food,Al Waha,81.36,101.85
P0133,Eastern Choice Beauty Item 133,Beauty,Beauty,Eastern Choice,192.95,289.5
P0134,Desert Harvest Beauty Item 134,Beauty,Beauty,Desert Harvest,201.48,333.54
P0135,Palm Valley Food & Beverages Item 135,Food & Beverages,Food & Beverages,Palm Valley,35.98,47.44
P0136,Al Waha Household Item 136,Household,Household,Al Waha,123.59,152.91
P0137,Palm Valley Beauty Item 137,Beauty,Beauty,Palm Valley,38.85,63.36
P0138,Gulf Fresh Personal Care Item 138,Personal Care,Personal Care,Gulf Fresh,67.62,92.27
P0139,Al Waha Personal Care Item 139,Personal Care,Personal Care,Al Waha,5.66,7.76
P0140,Nakhla Household Item 140,Household,Household,Nakhla,52.06,63.86
P0141,Rimal Food & Beverages Item 141,Food & Beverages,Food & Beverages,Rimal,30.58,35.66
P0142,Golden Basket Personal Care Item 142,Personal Care,Personal Care,Golden Basket,50.56,72.4
P0143,Arabian Select Food & Beverages Item 143,Food & Beverages,Food & Beverages,Arabian Select,56.25,70.27
P0144,Arabian Select Personal Care Item 144,Personal Care,Personal Care,Arabian Select,49.68,67.53
P0145,Golden Basket Food & Beverages Item 145,Food & Beverages,Food & Beverages,Golden Basket,37.0,47.95
P0146,Sahara Home Fresh Food Item 146,Fresh Food,Fresh Food,Sahara Home,26.04,35.23
P0147,Gulf Fresh Health & Wellness Item 147,Health & Wellness,Health & Wellness,Gulf Fresh,80.92,109.05
P0148,Palm Valley Baby Care Item 148,Baby Care,Baby Care,Palm Valley,47.09,63.69
P0149,Nakhla Electronics Item 149,Electronics,Electronics,Nakhla,77.09,86.89
P0150,Oasis Choice Beauty Item 150,Beauty,Beauty,Oasis Choice,154.83,249.74
P0151,Al Waha Food & Beverages Item 151,Food & Beverages,Food & Beverages,Al Waha,54.12,69.35
P0152,Gulf Fresh Beauty Item 152,Beauty,Beauty,Gulf Fresh,158.68,267.35
P0153,Eastern Choice Health & Wellness Item 153,Health & Wellness,Health & Wellness,Eastern Choice,98.06,129.51
P0154,Al Waha Baby Care Item 154,Baby Care,Baby Care,Al Waha,73.32,89.03
P0155,Nakhla Household Item 155,Household,Household,Nakhla,130.18,163.56
P0156,Desert Harvest Food & Beverages Item 156,Food & Beverages,Food & Beverages,Desert Harvest,42.49,51.09
P0157,Desert Harvest Personal Care Item 157,Personal Care,Personal Care,Desert Harvest,60.11,78.85
P0158,Gulf Fresh Household Item 158,Household,Household,Gulf Fresh,8.72,12.04
P0159,Rimal Health & Wellness Item 159,Health & Wellness,Health & Wellness,Rimal,74.84,102.89
P0160,Nakhla Health & Wellness Item 160,Health & Wellness,Health & Wellness,Nakhla,82.24,113.62
P0161,Nakhla Household Item 161,Household,Household,Nakhla,62.83,84.94
P0162,Golden Basket Fresh Food Item 162,Fresh Food,Fresh Food,Golden Basket,59.28,76.47
P0163,Rimal Health & Wellness Item 163,Health & Wellness,Health & Wellness,Rimal,111.38,170.75
P0164,Palm Valley Personal Care Item 164,Personal Care,Personal Care,Palm Valley,74.91,94.86
P0165,Palm Valley Food & Beverages Item 165,Food & Beverages,Food & Beverages,Palm Valley,61.66,76.92
P0166,Oasis Choice Food & Beverages Item 166,Food & Beverages,Food & Beverages,Oasis Choice,65.41,75.66
P0167,Arabian Select Personal Care Item 167,Personal Care,Personal Care,Arabian Select,87.58,110.85
P0168,Desert Harvest Food & Beverages Item 168,Food & Beverages,Food & Beverages,Desert Harvest,76.53,101.88
P0169,Eastern Choice Food & Beverages Item 169,Food & Beverages,Food & Beverages,Eastern Choice,3.42,4.03
P0170,Palm Valley Personal Care Item 170,Personal Care,Personal Care,Palm Valley,27.51,38.05
P0171,Rimal Food & Beverages Item 171,Food & Beverages,Food & Beverages,Rimal,2.59,3.19
P0172,Nakhla Fresh Food Item 172,Fresh Food,Fresh Food,Nakhla,65.81,83.54
P0173,Eastern Choice Food & Beverages Item 173,Food & Beverages,Food & Beverages,Eastern Choice,72.05,95.82
P0174,Northern Star Beauty Item 174,Beauty,Beauty,Northern Star,68.44,92.92
P0175,Palm Valley Household Item 175,Household,Household,Palm Valley,139.42,185.81
P0176,Nakhla Fresh Food Item 176,Fresh Food,Fresh Food,Nakhla,8.85,12.33
P0177,Palm Valley Food & Beverages Item 177,Food & Beverages,Food & Beverages,Palm Valley,74.89,94.51
P0178,Desert Harvest Household Item 178,Household,Household,Desert Harvest,55.99,77.68
P0179,Northern Star Fresh Food Item 179,Fresh Food,Fresh Food,Northern Star,12.84,15.54
P0180,Al Waha Fresh Food Item 180,Fresh Food,Fresh Food,Al Waha,50.13,64.35
P0181,Palm Valley Electronics Item 181,Electronics,Electronics,Palm Valley,220.29,253.78
P0182,Rimal Personal Care Item 182,Personal Care,Personal Care,Rimal,37.76,54.1
P0183,Palm Valley Food & Beverages Item 183,Food & Beverages,Food & Beverages,Palm Valley,25.97,34.96
P0184,Arabian Select Health & Wellness Item 184,Health & Wellness,Health & Wellness,Arabian Select,162.57,223.85
P0185,Eastern Choice Fresh Food Item 185,Fresh Food,Fresh Food,Eastern Choice,55.3,73.6
P0186,Eastern Choice Beauty Item 186,Beauty,Beauty,Eastern Choice,84.71,120.23
P0187,Desert Harvest Health & Wellness Item 187,Health & Wellness,Health & Wellness,Desert Harvest,125.96,185.11
P0188,Rimal Personal Care Item 188,Personal Care,Personal Care,Rimal,87.36,119.33
P0189,Northern Star Electronics Item 189,Electronics,Electronics,Northern Star,232.65,301.14
P0190,Golden Basket Food & Beverages Item 190,Food & Beverages,Food & Beverages,Golden Basket,34.26,43.57
P0191,Rimal Personal Care Item 191,Personal Care,Personal Care,Rimal,19.02,25.44
P0192,Eastern Choice Household Item 192,Household,Household,Eastern Choice,31.27,38.24
P0193,Arabian Select Beauty Item 193,Beauty,Beauty,Arabian Select,173.47,243.37
P0194,Al Waha Personal Care Item 194,Personal Care,Personal Care,Al Waha,25.87,33.79
P0195,Desert Harvest Food & Beverages Item 195,Food & Beverages,Food & Beverages,Desert Harvest,42.96,51.56
P0196,Golden Basket Health & Wellness Item 196,Health & Wellness,Health & Wellness,Golden Basket,144.72,225.07
P0197,Arabian Select Personal Care Item 197,Personal Care,Personal Care,Arabian Select,17.29,24.04
P0198,Northern Star Health & Wellness Item 198,Health & Wellness,Health & Wellness,Northern Star,117.79,171.62
P0199,Northern Star Food & Beverages Item 199,Food & Beverages,Food & Beverages,Northern Star,22.01,25.82
P0200,Arabian Select Beauty Item 200,Beauty,Beauty,Arabian Select,241.1,398.07
P0201,Gulf Fresh Beauty Item 201,Beauty,Beauty,Gulf Fresh,126.05,202.06
P0202,Desert Harvest Food & Beverages Item 202,Food & Beverages,Food & Beverages,Desert Harvest,64.87,75.48
P0203,Rimal Personal Care Item 203,Personal Care,Personal Care,Rimal,68.28,97.43
P0204,Nakhla Food & Beverages Item 204,Food & Beverages,Food & Beverages,Nakhla,5.39,6.78
P0205,Al Waha Food & Beverages Item 205,Food & Beverages,Food & Beverages,Al Waha,51.39,59.94
P0206,Nakhla Fresh Food Item 206,Fresh Food,Fresh Food,Nakhla,95.29,123.08
P0207,Rimal Personal Care Item 207,Personal Care,Personal Care,Rimal,74.19,101.73
P0208,Rimal Electronics Item 208,Electronics,Electronics,Rimal,658.97,746.72
P0209,Desert Harvest Personal Care Item 209,Personal Care,Personal Care,Desert Harvest,106.68,158.57
P0210,Rimal Baby Care Item 210,Baby Care,Baby Care,Rimal,47.23,66.71
P0211,Eastern Choice Electronics Item 211,Electronics,Electronics,Eastern Choice,185.39,228.74
P0212,Gulf Fresh Health & Wellness Item 212,Health & Wellness,Health & Wellness,Gulf Fresh,126.09,181.4
P0213,Golden Basket Beauty Item 213,Beauty,Beauty,Golden Basket,108.65,162.34
P0214,Rimal Household Item 214,Household,Household,Rimal,126.78,168.64
P0215,Nakhla Household Item 215,Household,Household,Nakhla,135.5,177.38
P0216,Rimal Fresh Food Item 216,Fresh Food,Fresh Food,Rimal,37.28,45.2
P0217,Northern Star Electronics Item 217,Electronics,Electronics,Northern Star,204.76,246.22
P0218,Gulf Fresh Fresh Food Item 218,Fresh Food,Fresh Food,Gulf Fresh,78.71,107.15
P0219,Eastern Choice Food & Beverages Item 219,Food & Beverages,Food & Beverages,Eastern Choice,23.43,29.1
P0220,Eastern Choice Baby Care Item 220,Baby Care,Baby Care,Eastern Choice,149.49,181.33
P0221,Palm Valley Fresh Food Item 221,Fresh Food,Fresh Food,Palm Valley,44.1,59.85
P0222,Eastern Choice Food & Beverages Item 222,Food & Beverages,Food & Beverages,Eastern Choice,54.07,64.36
P0223,Palm Valley Food & Beverages Item 223,Food & Beverages,Food & Beverages,Palm Valley,9.45,11.36
P0224,Arabian Select Baby Care Item 224,Baby Care,Baby Care,Arabian Select,115.3,143.11
P0225,Al Waha Health & Wellness Item 225,Health & Wellness,Health & Wellness,Al Waha,95.84,134.09
P0226,Oasis Choice Electronics Item 226,Electronics,Electronics,Oasis Choice,477.55,597.58
P0227,Eastern Choice Food & Beverages Item 227,Food & Beverages,Food & Beverages,Eastern Choice,15.11,18.95
P0228,Golden Basket Electronics Item 228,Electronics,Electronics,Golden Basket,594.76,678.61
P0229,Northern Star Food & Beverages Item 229,Food & Beverages,Food & Beverages,Northern Star,69.3,91.86
P0230,Sahara Home Food & Beverages Item 230,Food & Beverages,Food & Beverages,Sahara Home,18.91,25.07
P0231,Arabian Select Food & Beverages Item 231,Food & Beverages,Food & Beverages,Arabian Select,9.47,12.54
P0232,Eastern Choice Electronics Item 232,Electronics,Electronics,Eastern Choice,38.44,44.12
P0233,Al Waha Health & Wellness Item 233,Health & Wellness,Health & Wellness,Al Waha,131.97,189.43
P0234,Palm Valley Beauty Item 234,Beauty,Beauty,Palm Valley,155.7,263.87
P0235,Nakhla Household Item 235,Household,Household,Nakhla,84.27,114.14
P0236,Sahara Home Fresh Food Item 236,Fresh Food,Fresh Food,Sahara Home,25.5,30.74
P0237,Al Waha Household Item 237,Household,Household,Al Waha,61.68,74.82
P0238,Al Waha Electronics Item 238,Electronics,Electronics,Al Waha,483.69,576.94
P0239,Eastern Choice Household Item 239,Household,Household,Eastern Choice,77.03,106.44
P0240,Arabian Select Household Item 240,Household,Household,Arabian Select,148.23,193.85
P0241,Sahara Home Household Item 241,Household,Household,Sahara Home,24.78,32.2
P0242,Desert Harvest Personal Care Item 242,Personal Care,Personal Care,Desert Harvest,84.94,108.41
P0243,Oasis Choice Baby Care Item 243,Baby Care,Baby Care,Oasis Choice,77.54,105.78
P0244,Desert Harvest Beauty Item 244,Beauty,Beauty,Desert Harvest,112.77,184.69
P0245,Northern Star Personal Care Item 245,Personal Care,Personal Care,Northern Star,87.52,117.72
P0246,Sahara Home Fresh Food Item 246,Fresh Food,Fresh Food,Sahara Home,70.17,95.09
P0247,Desert Harvest Household Item 247,Household,Household,Desert Harvest,148.73,207.17
P0248,Eastern Choice Beauty Item 248,Beauty,Beauty,Eastern Choice,40.81,58.0
P0249,Gulf Fresh Fresh Food Item 249,Fresh Food,Fresh Food,Gulf Fresh,13.1,17.09
P0250,Palm Valley Health & Wellness Item 250,Health & Wellness,Health & Wellness,Palm Valley,147.62,204.62
P0251,Gulf Fresh Food & Beverages Item 251,Food & Beverages,Food & Beverages,Gulf Fresh,47.11,61.65
P0252,Rimal Fresh Food Item 252,Fresh Food,Fresh Food,Rimal,29.59,38.93
P0253,Desert Harvest Health & Wellness Item 253,Health & Wellness,Health & Wellness,Desert Harvest,25.09,37.39
P0254,Northern Star Personal Care Item 254,Personal Care,Personal Care,Northern Star,14.85,21.52
P0255,Rimal Food & Beverages Item 255,Food & Beverages,Food & Beverages,Rimal,71.75,88.19
P0256,Nakhla Electronics Item 256,Electronics,Electronics,Nakhla,169.66,217.68
P0257,Golden Basket Health & Wellness Item 257,Health & Wellness,Health & Wellness,Golden Basket,71.44,104.3
P0258,Nakhla Beauty Item 258,Beauty,Beauty,Nakhla,64.4,90.5
P0259,Sahara Home Fresh Food Item 259,Fresh Food,Fresh Food,Sahara Home,37.43,50.13
P0260,Al Waha Electronics Item 260,Electronics,Electronics,Al Waha,74.15,93.33
P0261,Palm Valley Food & Beverages Item 261,Food & Beverages,Food & Beverages,Palm Valley,42.49,51.56
P0262,Desert Harvest Personal Care Item 262,Personal Care,Personal Care,Desert Harvest,12.78,18.71
P0263,Northern Star Personal Care Item 263,Personal Care,Personal Care,Northern Star,97.04,143.28
P0264,Northern Star Baby Care Item 264,Baby Care,Baby Care,Northern Star,48.2,61.18
P0265,Arabian Select Food & Beverages Item 265,Food & Beverages,Food & Beverages,Arabian Select,44.12,59.42
P0266,Golden Basket Beauty Item 266,Beauty,Beauty,Golden Basket,221.22,309.54
P0267,Oasis Choice Electronics Item 267,Electronics,Electronics,Oasis Choice,527.68,601.77
P0268,Oasis Choice Fresh Food Item 268,Fresh Food,Fresh Food,Oasis Choice,54.7,67.66
P0269,Oasis Choice Household Item 269,Household,Household,Oasis Choice,52.03,71.74
P0270,Desert Harvest Electronics Item 270,Electronics,Electronics,Desert Harvest,279.74,344.32
P0271,Oasis Choice Food & Beverages Item 271,Food & Beverages,Food & Beverages,Oasis Choice,54.22,64.0
P0272,Eastern Choice Electronics Item 272,Electronics,Electronics,Eastern Choice,795.43,945.02
P0273,Gulf Fresh Food & Beverages Item 273,Food & Beverages,Food & Beverages,Gulf Fresh,53.62,68.26
P0274,Northern Star Household Item 274,Household,Household,Northern Star,85.88,104.49
P0275,Golden Basket Electronics Item 275,Electronics,Electronics,Golden Basket,589.91,753.01
P0276,Gulf Fresh Food & Beverages Item 276,Food & Beverages,Food & Beverages,Gulf Fresh,38.29,50.19
P0277,Al Waha Personal Care Item 277,Personal Care,Personal Care,Al Waha,11.92,16.41
P0278,Golden Basket Baby Care Item 278,Baby Care,Baby Care,Golden Basket,104.72,150.98
P0279,Gulf Fresh Baby Care Item 279,Baby Care,Baby Care,Gulf Fresh,172.71,225.29
P0280,Golden Basket Health & Wellness Item 280,Health & Wellness,Health & Wellness,Golden Basket,43.31,69.09
P0281,Al Waha Baby Care Item 281,Baby Care,Baby Care,Al Waha,126.68,173.17
P0282,Rimal Beauty Item 282,Beauty,Beauty,Rimal,58.22,91.53
P0283,Eastern Choice Personal Care Item 283,Personal Care,Personal Care,Eastern Choice,66.62,86.04
P0284,Desert Harvest Household Item 284,Household,Household,Desert Harvest,19.02,26.18
P0285,Desert Harvest Food & Beverages Item 285,Food & Beverages,Food & Beverages,Desert Harvest,37.13,45.87
P0286,Northern Star Fresh Food Item 286,Fresh Food,Fresh Food,Northern Star,76.35,94.1
P0287,Oasis Choice Health & Wellness Item 287,Health & Wellness,Health & Wellness,Oasis Choice,76.04,99.14
P0288,Eastern Choice Household Item 288,Household,Household,Eastern Choice,101.41,133.04
P0289,Nakhla Household Item 289,Household,Household,Nakhla,120.34,157.1
P0290,Oasis Choice Fresh Food Item 290,Fresh Food,Fresh Food,Oasis Choice,92.94,124.9
P0291,Northern Star Food & Beverages Item 291,Food & Beverages,Food & Beverages,Northern Star,20.3,26.96
P0292,Sahara Home Health & Wellness Item 292,Health & Wellness,Health & Wellness,Sahara Home,85.87,113.68
P0293,Eastern Choice Beauty Item 293,Beauty,Beauty,Eastern Choice,46.58,74.81
